substage,run_id,recipe,split,eval_mode,step,n_pairs,q_count_mode,q_cap,phase_train_n_pairs,accuracy,all_correct,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,train,train_dense_capped,1,1,capped,8,"1,2",0.0,0.0,6.224689483642578,0.125,2.0794415416798357,6.95324705678892,2e-06,0.08058977127075195,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,train,train_dense_capped,100,1,capped,8,"1,2",1.0,1.0,0.01627621427178383,0.125,2.0794415416798357,0.09976014534574565,0.0002,2.686507225036621,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,train,train_dense_capped,200,2,capped,8,"1,2",0.6666666865348816,0.4114583333333333,0.5335035920143127,0.125,2.0794415416798357,1.9503351210013593,0.0004,5.393651485443115,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,train,train_dense_capped,300,1,capped,8,"1,2",1.0,1.0,0.0007552038878202438,0.125,2.0794415416798357,0.005651873597386225,0.0006,8.085415124893188,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,train,train_dense_capped,400,1,capped,8,"1,2",1.0,1.0,0.0005879480740986764,0.125,2.0794415416798357,0.006330534458802401,0.0008,10.654218435287476,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,train,train_dense_capped,500,1,capped,8,"1,2",1.0,1.0,0.0004178594972472638,0.125,2.0794415416798357,0.003464869590753671,0.001,13.3156259059906,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,train,train_dense_capped,600,2,capped,8,"1,2",0.7734375,0.546875,0.35757389664649963,0.125,2.0794415416798357,0.7215258286329563,0.001,15.991332769393921,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,train,train_dense_capped,700,1,capped,8,"1,2",1.0,1.0,0.00020181445870548487,0.125,2.0794415416798357,0.0016091675053362012,0.001,18.691338777542114,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,train,train_dense_capped,800,2,capped,8,"1,2",0.7552083730697632,0.5104166666666666,0.3410245180130005,0.125,2.0794415416798357,0.5251359683172059,0.001,21.35957670211792,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,train,train_dense_capped,900,1,capped,8,"1,2",1.0,1.0,0.00021694181486964226,0.125,2.0794415416798357,0.0017238218481728193,0.001,24.082923650741577,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,train,train_dense_capped,1000,2,capped,8,"1,2",0.8020833730697632,0.6041666666666666,0.3113691508769989,0.125,2.0794415416798357,0.36637768369908075,0.001,26.780893087387085,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,eval,dense_capped,1000,1,capped,8,"1,2",1.0,1.0,0.00013904103468576068,0.125,2.0794415416798357,,0.001,38.83148717880249,ok
B0D.1,stage_b0d_b01_dense_v8_seed1,dense capped curriculum N_VALUES=8,eval,dense_capped,1000,2,capped,8,"1,2",0.7828369364142418,0.565673828125,0.32200466096401215,0.125,2.0794415416798357,,0.001,38.83149290084839,ok
