substage,run_id,recipe,split,eval_mode,step,n_pairs,q_count_mode,q_cap,phase_train_n_pairs,accuracy,all_correct,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,1,1,capped,8,"1,2",0.0,0.0,6.594534397125244,0.125,2.0794415416798357,6.915042810780624,2e-06,0.26930880546569824,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,100,2,capped,8,"1,2",0.5182291865348816,0.22916666666666666,0.8449892401695251,0.125,2.0794415416798357,1.8350205246057099,0.0002,2.666571855545044,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,200,2,capped,8,"1,2",0.5911458730697632,0.24479166666666666,0.6483038067817688,0.125,2.0794415416798357,0.8578623039235339,0.0004,5.158724069595337,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,300,2,capped,8,"1,2",0.7734375,0.546875,0.3732106387615204,0.125,2.0794415416798357,0.8445189727341629,0.0006,7.612753629684448,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,400,2,capped,8,"1,2",0.7682291865348816,0.5364583333333334,0.3632020950317383,0.125,2.0794415416798357,0.9322769392091831,0.0008,10.09842038154602,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,500,1,capped,8,"1,2",1.0,1.0,0.0004647348541766405,0.125,2.0794415416798357,0.003633048429108525,0.001,12.692071199417114,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,600,1,capped,8,"1,2",1.0,1.0,0.000204387994017452,0.125,2.0794415416798357,0.0014977801758594598,0.001,15.266215562820435,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,700,2,capped,8,"1,2",0.8046875,0.609375,0.3239078223705292,0.125,2.0794415416798357,0.6401882943486282,0.001,17.83614420890808,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,800,2,capped,8,"1,2",0.7838541865348816,0.5677083333333334,0.3357211649417877,0.125,2.0794415416798357,0.45258273897638407,0.001,20.315488815307617,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,900,2,capped,8,"1,2",0.7526041865348816,0.5052083333333334,0.4248371422290802,0.125,2.0794415416798357,1.0466820756275603,0.001,22.766971349716187,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,1000,1,capped,8,"1,2",1.0,1.0,0.00034418751602061093,0.125,2.0794415416798357,0.0029980455971454632,0.001,25.244131326675415,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,eval,dense_capped,1000,1,capped,8,"1,2",1.0,1.0,0.0003279727070548688,0.125,2.0794415416798357,,0.001,37.331358671188354,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,eval,dense_capped,1000,2,capped,8,"1,2",0.7782592973671854,0.5565185546875,0.3366427207365632,0.125,2.0794415416798357,,0.001,37.33136510848999,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,eval,dense_capped,1000,4,capped,8,"1,2",0.3375549423508346,0.0025634765625,2.3429377786815166,0.125,2.0794415416798357,,0.001,37.33136868476868,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,eval,dense_capped,1000,8,capped,8,"1,2",0.21044922294095159,0.0,2.3368035834282637,0.125,2.0794415416798357,,0.001,37.33137130737305,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,eval,single_query,1000,1,single,1,"1,2",1.0,1.0,0.00032960230896605935,0.125,2.0794415416798357,,0.001,37.33137607574463,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,eval,single_query,1000,2,single,1,"1,2",0.5596924051642418,0.5596923828125,0.649229712318629,0.125,2.0794415416798357,,0.001,37.33137917518616,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,eval,single_query,1000,4,single,1,"1,2",0.3013916111085564,0.3013916015625,2.6213422678411007,0.125,2.0794415416798357,,0.001,37.331383228302,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,eval,single_query,1000,8,single,1,"1,2",0.19091797329019755,0.19091796875,2.4403392150998116,0.125,2.0794415416798357,,0.001,37.33138585090637,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,1100,1,capped,8,"1,2",1.0,1.0,0.00012654873717110604,0.125,2.0794415416798357,0.0008997352259784416,0.001,39.949106216430664,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,1200,1,capped,8,"1,2",1.0,1.0,0.0001759121660143137,0.125,2.0794415416798357,0.0015194835968014057,0.001,42.46015238761902,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,1300,2,capped,8,"1,2",0.7604166865348816,0.5208333333333334,0.3218235671520233,0.125,2.0794415416798357,0.573787049697697,0.001,44.955018043518066,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,1400,1,capped,8,"1,2",1.0,1.0,0.00013594380288850516,0.125,2.0794415416798357,0.0009254098454254572,0.001,47.50563645362854,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,1500,1,capped,8,"1,2",1.0,1.0,0.00012131070252507925,0.125,2.0794415416798357,0.0008950805606436904,0.001,50.00827479362488,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,1600,2,capped,8,"1,2",0.7916666865348816,0.5833333333333334,0.30546560883522034,0.125,2.0794415416798357,0.55930671146493,0.001,52.493022203445435,ok
B0D.1,stage_b0d_b01_dense_v8_seed0,dense capped curriculum N_VALUES=8,train,train_dense_capped,1700,2,capped,8,"1,2",0.796875,0.59375,0.3142823874950409,0.125,2.0794415416798357,0.4587905634796748,0.001,54.97496318817139,ok
