substage,run_id,config,lr,seed,step,N=1 acc,N=2 acc,N=4 acc,N=8 acc,N=8 CE,random acc,random CE,status,elapsed_sec,checkpoint,notes
A2.1,stage_a2_n8_overfit,N=8 fixed batch overfit,0.001,0,500,,,,1.0000,0.0000,0.1250,2.0794,pass_overfit,10.46,/root/mamba_recall_experiment/runs/20260620_180244/checkpoints/stage_a2_n8_overfit.pt,
A2.2,stage_a2_n8_bestlr_to100k,N=8 best LR to 100k,0.001,0,6000,,,,0.9733,0.0762,0.1250,2.0794,pass_strong,175.47,/root/mamba_recall_experiment/runs/20260620_180244/checkpoints/stage_a2_n8_bestlr_to100k.pt,"A1 checkpoint missing, restarted same best-LR config with checkpointing"
