substage,run_id,recipe,split,eval_mode,step,n_pairs,q_count_mode,q_cap,phase_train_n_pairs,accuracy,all_correct,cross_entropy,random_accuracy,random_cross_entropy,grad_norm,lr,elapsed_sec,status
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1700,2,capped,8,"1,2",0.8020833730697632,0.6041666666666666,0.31138548254966736,0.125,2.0794415416798357,0.3215062644607259,0.001,56.93343687057495,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1800,2,capped,8,"1,2",0.8203125,0.640625,0.30159762501716614,0.125,2.0794415416798357,0.3592208964285979,0.001,59.51390981674194,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,1900,1,capped,8,"1,2",1.0,1.0,0.00010930779535556212,0.125,2.0794415416798357,0.0008674696799794284,0.001,62.11970520019531,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,train,train_dense_capped,2000,1,capped,8,"1,2",1.0,1.0,8.235691348090768e-05,0.125,2.0794415416798357,0.0005633031858793327,0.001,64.75249481201172,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,2000,1,capped,8,"1,2",1.0,1.0,8.100045153014435e-05,0.125,2.0794415416798357,,0.001,76.72282719612122,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,2000,2,capped,8,"1,2",0.7870483589358628,0.5740966796875,0.3181234037037939,0.125,2.0794415416798357,,0.001,76.72283339500427,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,2000,4,capped,8,"1,2",0.3178100688382983,0.0018310546875,2.9952302407473326,0.125,2.0794415416798357,,0.001,76.7228364944458,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,dense_capped,2000,8,capped,8,"1,2",0.2046203666832298,0.0,2.8473087064921856,0.125,2.0794415416798357,,0.001,76.72283935546875,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,2000,1,single,1,"1,2",1.0,1.0,8.067881827855672e-05,0.125,2.0794415416798357,,0.001,76.72284364700317,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,2000,2,single,1,"1,2",0.5638427902013063,0.5638427734375,0.6389386742375791,0.125,2.0794415416798357,,0.001,76.72284722328186,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,2000,4,single,1,"1,2",0.29919434420298785,0.2991943359375,2.861039688810706,0.125,2.0794415416798357,,0.001,76.72285008430481,ok
B0D.1,stage_b0d_b01_dense_v8_seed2,dense capped curriculum N_VALUES=8,eval,single_query,2000,8,single,1,"1,2",0.1916503959801048,0.191650390625,2.8700300119817257,0.125,2.0794415416798357,,0.001,76.72285389900208,ok
