model,n_queries,topk,recall@1,recall@5,recall@10,mrr,ndcg@10,latency_ms_per_query,latency_ms_per_candidate,peak_vram_mb,elapsed_s,score_margin_gold_vs_rest,est_gpu_hours_full_5000
state-spaces/mamba-130m-hf,5000.0,100,0.0108,0.0426,0.0814,0.04652391113024041,0.03886458252714733,878.875,8.7888,519.4,4394.38,-0.0098,1.2207
EleutherAI/pythia-160m,5000.0,100,0.0132,0.068,0.1292,0.061560824186875154,0.06023102434686169,510.996,5.11,1202.6,2554.98,0.0386,0.7097
