model,tag,seed,best_step,stopped_early,total_steps_run,test_recall@1,test_recall@5,test_recall@10,test_mrr,test_ndcg@10,test_cond_n,test_cond_recall@1,test_cond_recall@5,test_cond_recall@10,test_cond_mrr,test_cond_ndcg@10,dev_recall@5,dev_mrr,dev_test_r5_gap,train_time_s,peak_vram_mb,eval_latency_per_q_ms,eval_latency_per_cand_ms,best_dev_metric
state-spaces/mamba-130m-hf,mamba_130m_lora,0,1500,False,1500,0.647,0.746,0.802,0.6960160184552079,0.7169343523491499,914,0.7078774617067833,0.8161925601750547,0.8774617067833698,0.7615054906512122,0.7843920704038839,0.762,0.721768957116253,0.016000000000000014,5058.0,377.0,1494.423,14.944,0.7618
state-spaces/mamba-130m-hf,mamba_130m_lora,1,1250,False,1500,0.644,0.743,0.813,0.693478792618851,0.717796981930933,914,0.7045951859956237,0.812910284463895,0.8894967177242888,0.758729532405745,0.7853358664452221,0.763,0.7185267445313019,0.020000000000000018,5129.7,887.4,1715.89,17.159,0.7646
state-spaces/mamba-130m-hf,mamba_130m_lora,2,1250,False,1500,0.648,0.747,0.817,0.6953815947537243,0.7202375995995207,914,0.7089715536105032,0.8172866520787746,0.8938730853391685,0.7608113728158908,0.7880061264764997,0.758,0.7130176613484822,0.01100000000000001,5133.3,374.6,1530.633,15.306,0.7582
