lr,warmup_ratio,steps,seed,best_dev_mrr,best_step,final_dev_mrr,final_dev_recall@5,peak_dev_recall@5
5e-05,0.1,1500,0,0.28399980929596125,1250,0.26932636077213484,0.395,0.395
0.0001,0.1,1500,0,0.48632659474516915,1500,0.48632659474516915,0.63,0.63
