dataset,model,latency_per_q_ms,latency_per_cand_ms,vram_mb
scifact,Mamba-130m-cls(synthetic),339.85901832580566,3.3985901832580567,531.7353515625
scifact,Mamba-130m-cls(finetuned),341.05377197265625,3.4105377197265625,786.35791015625
scifact,Pythia-160m-cls(synthetic),198.19881916046143,1.9819881916046143,1165.00439453125
scifact,Pythia-160m-cls(finetuned),196.74490451812744,1.9674490451812745,1165.00439453125
nfcorpus,Mamba-130m-cls(synthetic),348.32563877105713,3.483256387710571,531.7353515625
nfcorpus,Mamba-130m-cls(finetuned),355.09904384613037,3.550990438461304,786.35791015625
nfcorpus,Pythia-160m-cls(synthetic),206.7033815383911,2.0670338153839114,1682.12451171875
nfcorpus,Pythia-160m-cls(finetuned),204.4776439666748,2.044776439666748,1682.12451171875
