model,tag,seed,best_step,stopped_early,total_steps_run,test_recall@1,test_recall@5,test_recall@10,test_mrr,test_ndcg@10,test_cond_n,test_cond_recall@1,test_cond_recall@5,test_cond_recall@10,test_cond_mrr,test_cond_ndcg@10,dev_recall@5,dev_mrr,dev_test_r5_gap,train_time_s,peak_vram_mb,eval_latency_per_q_ms,eval_latency_per_cand_ms,best_dev_metric
EleutherAI/pythia-160m,pythia_160m_lora_tuned,0,1750,False,2000,0.306,0.559,0.608,0.4188105530418717,0.4593781574944317,914,0.3347921225382932,0.611597374179431,0.6652078774617067,0.4582172352755708,0.5026019228604286,0.567,0.4191929277785151,0.007999999999999896,4839.2,457.7,800.668,8.007,0.4588
EleutherAI/pythia-160m,pythia_160m_lora_tuned,1,1750,False,2000,0.286,0.56,0.611,0.40430914274551777,0.44863183683527597,914,0.31291028446389496,0.612691466083151,0.6684901531728665,0.44235135967780936,0.49084446043246827,0.582,0.4531272030764537,0.02199999999999991,4738.6,458.9,803.941,8.039,0.4789
EleutherAI/pythia-160m,pythia_160m_lora_tuned,2,2000,False,2000,0.148,0.277,0.347,0.2234566300790455,0.23928601608458472,914,0.16192560175054704,0.30306345733041573,0.3796498905908096,0.24448208980201916,0.2618008928715369,0.306,0.254754188397785,0.02899999999999997,4756.8,456.3,804.16,8.042,0.3246
